<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.28	00:00:00	1.38353	1.38454	1.38105	1.38426	1062	0	63
2026.01.28	01:00:00	1.38425	1.38452	1.38214	1.38265	2662	0	6
2026.01.28	02:00:00	1.38266	1.38310	1.38139	1.38169	4522	0	5
2026.01.28	03:00:00	1.38170	1.38188	1.37988	1.38000	4310	0	5
2026.01.28	04:00:00	1.37999	1.38069	1.37914	1.38033	3475	0	5
2026.01.28	05:00:00	1.38039	1.38101	1.37967	1.37995	2524	0	5
2026.01.28	06:00:00	1.37996	1.38029	1.37936	1.38014	2011	0	5
2026.01.28	07:00:00	1.38015	1.38052	1.37887	1.38047	3493	0	5
2026.01.28	08:00:00	1.38047	1.38154	1.38034	1.38059	3544	0	4
2026.01.28	09:00:00	1.38058	1.38307	1.37925	1.38011	4944	0	4
2026.01.28	10:00:00	1.38012	1.38110	1.37748	1.37865	5839	0	4
2026.01.28	11:00:00	1.37866	1.37923	1.37758	1.37870	4732	0	4
2026.01.28	12:00:00	1.37870	1.37996	1.37762	1.37927	4866	0	4
2026.01.28	13:00:00	1.37928	1.37928	1.37674	1.37695	4624	0	4
2026.01.28	14:00:00	1.37693	1.37938	1.37683	1.37932	4669	0	4
2026.01.28	15:00:00	1.37934	1.37938	1.37649	1.37700	4790	0	4
2026.01.28	16:00:00	1.37700	1.38010	1.37675	1.37860	5723	0	4
2026.01.28	17:00:00	1.37861	1.37991	1.37493	1.37894	9958	0	4
2026.01.28	18:00:00	1.37894	1.37939	1.37638	1.37843	6962	0	4
2026.01.28	19:00:00	1.37842	1.37905	1.37721	1.37892	3848	0	4
2026.01.28	20:00:00	1.37893	1.37919	1.37632	1.37734	4221	0	4
2026.01.28	21:00:00	1.37698	1.37961	1.37521	1.37931	7750	0	4
2026.01.28	22:00:00	1.37930	1.38023	1.37857	1.37988	4257	0	4
2026.01.28	23:00:00	1.37988	1.38107	1.37971	1.38101	2720	0	4
2026.01.29	00:00:00	1.37938	1.38018	1.37873	1.37980	5148	0	63
2026.01.29	01:00:00	1.37984	1.38299	1.37927	1.38265	2896	0	6
2026.01.29	02:00:00	1.38264	1.38346	1.38134	1.38204	4047	0	5
2026.01.29	03:00:00	1.38194	1.38194	1.37996	1.38030	4339	0	5
2026.01.29	04:00:00	1.38029	1.38155	1.37929	1.38122	3570	0	5
2026.01.29	05:00:00	1.38121	1.38329	1.38110	1.38325	3054	0	5
2026.01.29	06:00:00	1.38326	1.38399	1.38237	1.38390	2653	0	5
2026.01.29	07:00:00	1.38386	1.38437	1.38357	1.38376	2332	0	5
2026.01.29	08:00:00	1.38374	1.38398	1.38277	1.38374	3205	0	5
2026.01.29	09:00:00	1.38371	1.38475	1.38238	1.38315	4584	0	4
2026.01.29	10:00:00	1.38316	1.38460	1.38140	1.38205	5866	0	4
2026.01.29	11:00:00	1.38203	1.38239	1.37999	1.38033	4695	0	4
2026.01.29	12:00:00	1.38034	1.38066	1.37807	1.37823	4631	0	4
2026.01.29	13:00:00	1.37826	1.37980	1.37804	1.37940	4046	0	4
2026.01.29	14:00:00	1.37938	1.38137	1.37889	1.38130	3655	0	4
2026.01.29	15:00:00	1.38132	1.38177	1.37972	1.38058	5570	0	4
2026.01.29	16:00:00	1.38066	1.38338	1.38043	1.38265	7146	0	4
2026.01.29	17:00:00	1.38267	1.38269	1.37422	1.37636	11651	0	4
2026.01.29	18:00:00	1.37635	1.37990	1.37598	1.37924	8776	0	4
2026.01.29	19:00:00	1.37925	1.38072	1.37924	1.37981	6717	0	4
2026.01.29	20:00:00	1.37977	1.38046	1.37880	1.37976	6606	0	4
2026.01.29	21:00:00	1.37977	1.38002	1.37915	1.37930	4504	0	4
2026.01.29	22:00:00	1.37929	1.38082	1.37884	1.38047	3181	0	4
2026.01.29	23:00:00	1.38046	1.38132	1.37988	1.38117	2050	0	5
2026.01.30	00:00:00	1.37962	1.38069	1.37949	1.38062	1057	0	63
2026.01.30	01:00:00	1.38062	1.38143	1.38044	1.38078	1511	0	6
2026.01.30	02:00:00	1.38077	1.38140	1.37738	1.37774	4156	0	5
2026.01.30	03:00:00	1.37776	1.37797	1.37579	1.37608	5865	0	5
2026.01.30	04:00:00	1.37609	1.37665	1.37313	1.37618	6745	0	5
2026.01.30	05:00:00	1.37621	1.37661	1.37478	1.37529	3800	0	5
2026.01.30	06:00:00	1.37528	1.37673	1.37484	1.37525	2638	0	5
2026.01.30	07:00:00	1.37527	1.37629	1.37462	1.37557	2916	0	5
2026.01.30	08:00:00	1.37550	1.37638	1.37402	1.37506	4598	0	5
2026.01.30	09:00:00	1.37503	1.37828	1.37465	1.37692	5684	0	4
2026.01.30	10:00:00	1.37711	1.37800	1.37587	1.37643	6404	0	4
2026.01.30	11:00:00	1.37641	1.37672	1.37248	1.37336	6933	0	4
2026.01.30	12:00:00	1.37334	1.37505	1.37320	1.37481	5759	0	4
2026.01.30	13:00:00	1.37481	1.37796	1.37446	1.37788	5366	0	4
2026.01.30	14:00:00	1.37789	1.37876	1.37568	1.37620	5942	0	4
2026.01.30	15:00:00	1.37618	1.37673	1.37353	1.37441	6469	0	4
2026.01.30	16:00:00	1.37443	1.37576	1.37357	1.37390	7401	0	4
2026.01.30	17:00:00	1.37390	1.37433	1.37095	1.37197	9022	0	4
2026.01.30	18:00:00	1.37196	1.37292	1.37125	1.37271	7693	0	4
2026.01.30	19:00:00	1.37256	1.37278	1.36999	1.37084	7642	0	4
2026.01.30	20:00:00	1.37082	1.37157	1.36802	1.37112	8015	0	4
2026.01.30	21:00:00	1.37111	1.37180	1.36896	1.36979	6312	0	4
2026.01.30	22:00:00	1.36973	1.36979	1.36826	1.36827	5415	0	4
2026.01.30	23:00:00	1.36828	1.36902	1.36791	1.36828	3813	0	5
2026.02.02	00:00:00	1.36869	1.36899	1.36764	1.36815	1629	0	77
2026.02.02	01:00:00	1.36836	1.36904	1.36620	1.36758	4804	0	6
2026.02.02	02:00:00	1.36762	1.37056	1.36762	1.37001	5425	0	5
2026.02.02	03:00:00	1.37003	1.37003	1.36764	1.36934	6715	0	5
2026.02.02	04:00:00	1.36939	1.36994	1.36815	1.36823	4948	0	5
2026.02.02	05:00:00	1.36822	1.36924	1.36782	1.36837	3829	0	5
2026.02.02	06:00:00	1.36838	1.36876	1.36771	1.36820	3253	0	5
2026.02.02	07:00:00	1.36822	1.36827	1.36601	1.36719	3800	0	5
2026.02.02	08:00:00	1.36720	1.36757	1.36612	1.36755	5522	0	5
2026.02.02	09:00:00	1.36752	1.36883	1.36731	1.36790	5864	0	4
2026.02.02	10:00:00	1.36791	1.37012	1.36779	1.36920	5645	0	4
2026.02.02	11:00:00	1.36920	1.37104	1.36819	1.37088	5453	0	4
2026.02.02	12:00:00	1.37087	1.37152	1.36960	1.37017	4748	0	4
